Offence_Category,Year,Offender_Count,Offender_Rate
132 Regulated public order offences,2021–22,8679.0,38.3
133 Offensive conduct,2021–22,6381.0,28.2
15 Offences against justice(n)(o),2021–22,28707.0,126.8
153 Breach of violence and non-violence orders,2021–22,18327.0,81.0
156 Offences against justice procedures,2021–22,7310.0,32.3
16 Miscellaneous offences,2021–22,61229.0,270.5
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2021–22,,
01 Homicide and related offences(e),2022–23,627.0,2.7
011 Murder,2022–23,255.0,1.1
012 Attempted Murder,2022–23,106.0,0.5
013 Manslaughter and driving causing death,2022–23,263.0,1.1
02 Acts intended to cause injury(f) ,2022–23,91007.0,392.9
021 Assault,2022–23,81933.0,353.8
029 Other acts intended to cause injury,2022–23,9073.0,39.2
03 Sexual assault and related offences(g),2022–23,9531.0,41.2
031 Sexual assault,2022–23,6434.0,27.8
032 Non–assaultive sexual offences,2022–23,3100.0,13.4
04 Dangerous/negligent acts(h),2022–23,1976.0,8.5
05 Abduction/harassment,2022–23,4507.0,19.5
06 Robbery/extortion,2022–23,4016.0,17.3
07 Unlawful entry with intent,2022–23,11338.0,49.0
08 Theft(i)(j),2022–23,35201.0,152.0
081 Motor vehicle theft,2022–23,5220.0,22.5
082 Theft (except motor vehicles),2022–23,26155.0,112.9
083 Receive or handle proceeds of crime,2022–23,3595.0,15.5
09 Fraud/deception(k),2022–23,8869.0,38.3
091 Obtain benefit by deception,2022–23,6891.0,29.8
092 Forgery and counterfeiting,2022–23,511.0,2.2
093 Deceptive business/government practices,2022–23,123.0,0.5
099 Other fraud and deception offences,2022–23,1269.0,5.5
10 Illicit drug offences(l),2022–23,52315.0,225.9
102 Deal or traffic in illicit drugs,2022–23,7210.0,31.1
103 Manufacture or cultivate illicit drugs,2022–23,4187.0,18.1
104 Possess and/or use illicit drugs,2022–23,35329.0,152.5
11 Weapons/explosives,2022–23,12757.0,55.1
12 Property damage and environmental pollution,2022–23,14367.0,62.0
13 Public order offences(m),2022–23,36841.0,159.1
131 Disorderly conduct,2022–23,20093.0,86.8
132 Regulated public order offences,2022–23,9393.0,40.6
133 Offensive conduct,2022–23,7354.0,31.8
15 Offences against justice(n)(o),2022–23,31041.0,134.0
153 Breach of violence and non-violence orders,2022–23,19952.0,86.1
156 Offences against justice procedures,2022–23,7885.0,34.0
16 Miscellaneous offences,2022–23,11254.0,48.6
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2022–23,,
01 Homicide and related offences(e),2023–24,677.0,2.8
011 Murder,2023–24,283.0,1.2
012 Attempted Murder,2023–24,134.0,0.6
013 Manslaughter and driving causing death,2023–24,265.0,1.1
02 Acts intended to cause injury(f) ,2023–24,92259.0,387.2
021 Assault,2023–24,82820.0,347.6
029 Other acts intended to cause injury,2023–24,9441.0,39.6
03 Sexual assault and related offences(g),2023–24,9585.0,40.2
031 Sexual assault,2023–24,6186.0,26.0
032 Non–assaultive sexual offences,2023–24,3396.0,14.3
04 Dangerous/negligent acts(h),2023–24,2002.0,8.4
05 Abduction/harassment,2023–24,3708.0,15.6
06 Robbery/extortion,2023–24,3967.0,16.6
07 Unlawful entry with intent,2023–24,11095.0,46.6
08 Theft(i)(j),2023–24,34919.0,146.5
081 Motor vehicle theft,2023–24,5135.0,21.6
082 Theft (except motor vehicles),2023–24,26096.0,109.5
083 Receive or handle proceeds of crime,2023–24,3463.0,14.5
09 Fraud/deception(k),2023–24,8663.0,36.4
091 Obtain benefit by deception,2023–24,6588.0,27.6
092 Forgery and counterfeiting,2023–24,492.0,2.1
093 Deceptive business/government practices,2023–24,160.0,0.7
099 Other fraud and deception offences,2023–24,1343.0,5.6
10 Illicit drug offences(l),2023–24,48213.0,202.3
102 Deal or traffic in illicit drugs,2023–24,7161.0,30.1
103 Manufacture or cultivate illicit drugs,2023–24,3914.0,16.4
104 Possess and/or use illicit drugs,2023–24,32135.0,134.9
11 Weapons/explosives,2023–24,14804.0,62.1
12 Property damage and environmental pollution,2023–24,13576.0,57.0
13 Public order offences(m),2023–24,32307.0,135.6
131 Disorderly conduct,2023–24,19206.0,80.6
132 Regulated public order offences,2023–24,8438.0,35.4
133 Offensive conduct,2023–24,4664.0,19.6
15 Offences against justice(n)(o),2023–24,31101.0,130.5
153 Breach of violence and non-violence orders,2023–24,20073.0,84.2
156 Offences against justice procedures,2023–24,7620.0,32.0
16 Miscellaneous offences,2023–24,9876.0,41.4
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2023–24,,
01 Homicide and related offences(e),2024–25,600.0,2.5
011 Murder,2024–25,220.0,0.9
012 Attempted Murder,2024–25,123.0,0.5
013 Manslaughter and driving causing death,2024–25,255.0,1.1
02 Acts intended to cause injury(f) ,2024–25,98530.0,405.9
021 Assault,2024–25,88148.0,363.2
029 Other acts intended to cause injury,2024–25,10367.0,42.7
03 Sexual assault and related offences(g),2024–25,10052.0,41.4
031 Sexual assault,2024–25,6572.0,27.1
032 Non–assaultive sexual offences,2024–25,3476.0,14.3
04 Dangerous/negligent acts(h),2024–25,2044.0,8.4
05 Abduction/harassment,2024–25,4285.0,17.7
06 Robbery/extortion,2024–25,3982.0,16.4
07 Unlawful entry with intent,2024–25,10404.0,42.9
08 Theft(i)(j),2024–25,35266.0,145.3
081 Motor vehicle theft,2024–25,5192.0,21.4
082 Theft (except motor vehicles),2024–25,26266.0,108.2
083 Receive or handle proceeds of crime,2024–25,3565.0,14.7
09 Fraud/deception(k),2024–25,7912.0,32.6
091 Obtain benefit by deception,2024–25,5765.0,23.8
092 Forgery and counterfeiting,2024–25,554.0,2.3
093 Deceptive business/government practices,2024–25,121.0,0.5
099 Other fraud and deception offences,2024–25,1407.0,5.8
10 Illicit drug offences(l),2024–25,47550.0,195.9
102 Deal or traffic in illicit drugs,2024–25,7190.0,29.6
103 Manufacture or cultivate illicit drugs,2024–25,3606.0,14.9
104 Possess and/or use illicit drugs,2024–25,31636.0,130.3
11 Weapons/explosives,2024–25,16769.0,69.1
12 Property damage and environmental pollution,2024–25,13714.0,56.5
13 Public order offences(m),2024–25,30952.0,127.5
131 Disorderly conduct,2024–25,18219.0,75.1
132 Regulated public order offences,2024–25,8759.0,36.1
133 Offensive conduct,2024–25,3974.0,16.4
15 Offences against justice(n)(o),2024–25,32081.0,132.2
153 Breach of violence and non-violence orders,2024–25,20800.0,85.7
156 Offences against justice procedures,2024–25,7587.0,31.3
16 Miscellaneous offences,2024–25,7830.0,32.3
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2024–25,,
