Year,Offender_Count,Yearly_Change
2008–09,655770.0,
2009–10,689419.0,33649.0
2010–11,680066.0,-9353.0
2011–12,668513.0,-11553.0
2012–13,696041.0,27528.0
2013–14,689631.0,-6410.0
2014–15,678061.0,-11570.0
2015–16,681631.0,3570.0
2016–17,672010.0,-9621.0
2017–18,669063.0,-2947.0
2018–19,650787.0,-18276.0
2019–20,621195.0,-29592.0
2020–21,594183.0,-27012.0
2021–22,589514.0,-4669.0
2022–23,581978.0,-7536.0
2023–24,565765.0,-16213.0
2024–25,575773.0,10008.0
